Report for XW95
Created by Universal Game Editor

Num.  Variable name            OFFSET  VAR.TYPE         RANGE
  86  More Mine Captures         1677  2 bytes       0 thru 65,535  
  87  SAT Captures               1679  2 bytes       0 thru 65,535  
  88  More SAT Captures          1681  2 bytes       0 thru 65,535  
  89  Probe Captures             1683  2 bytes       0 thru 65,535  
  90  ===================        1684  1 byte         0 thru 255    
  91  Lasers Fired               1685  4 bytes     +/- 2,147,483,648
  92  Laser Hits (craft)         1689  4 bytes     +/- 2,147,483,648
  93  Laser Hits (surface)       1693  4 bytes     +/- 2,147,483,648
  94  Warhead Fired              1697  2 bytes       0 thru 65,535  
  95  Warhead Hits (space)       1699  2 bytes       0 thru 65,535  
  96  Warhead Hits (surfac       1701  2 bytes       0 thru 65,535  
  97  Craft Lost                 1703  2 bytes       0 thru 65,535  
